Year,ProductName,Licenses
2000,CFVR,8941
2000,Dealer,833
2000,RSCFL,515
2000,SCFL,6989
2000,Shellfish w/o SCFL,2097
2001,CFVR,9456
2001,Dealer,833
2001,RSCFL,630
2001,SCFL,6783
2001,Shellfish w/o SCFL,2176
2002,CFVR,9469
2002,Dealer,832
2002,RSCFL,676
2002,SCFL,6632
2002,Shellfish w/o SCFL,2302
2003,CFVR,9452
2003,Dealer,865
2003,RSCFL,727
2003,SCFL,6505
2003,Shellfish w/o SCFL,2131
2004,CFVR,9256
2004,Dealer,858
2004,RSCFL,754
2004,SCFL,6421
2004,Shellfish w/o SCFL,1835
2005,CFVR,9012
2005,Dealer,820
2005,RSCFL,754
2005,SCFL,6301
2005,Shellfish w/o SCFL,1623
2006,CFVR,8785
2006,Dealer,763
2006,RSCFL,787
2006,SCFL,6172
2006,Shellfish w/o SCFL,1528
2007,CFVR,8821
2007,Dealer,748
2007,RSCFL,853
2007,SCFL,6053
2007,Shellfish w/o SCFL,1626
2008,CFVR,8839
2008,Dealer,731
2008,RSCFL,912
2008,SCFL,5949
2008,Shellfish w/o SCFL,1706
2009,CFVR,9084
2009,Dealer,777
2009,RSCFL,959
2009,SCFL,5868
2009,Shellfish w/o SCFL,2128
2010,CFVR,8912
2010,Dealer,825
2010,RSCFL,1018
2010,SCFL,5797
2010,Shellfish w/o SCFL,2001
2011,CFVR,8798
2011,Dealer,828
2011,RSCFL,1071
2011,SCFL,5748
2011,Shellfish w/o SCFL,2151
2012,CFVR,8573
2012,Dealer,783
2012,RSCFL,1121
2012,SCFL,5643
2012,Shellfish w/o SCFL,1770
2013,CFVR,8335
2013,Dealer,770
2013,RSCFL,1159
2013,SCFL,5540
2013,Shellfish w/o SCFL,1712
2014,CFVR,8284
2014,Dealer,758
2014,RSCFL,1191
2014,SCFL,5494
2014,Shellfish w/o SCFL,1428
2015,CFVR,8103
2015,Dealer,734
2015,RSCFL,1231
2015,SCFL,5404
2015,Shellfish w/o SCFL,1319
2016,CFVR,7777
2016,Dealer,712
2016,RSCFL,1323
2016,SCFL,5142
2016,Shellfish w/o SCFL,1109
2017,CFVR,7269
2017,Dealer,693
2017,RSCFL,1328
2017,SCFL,4968
2017,Shellfish w/o SCFL,988
2018,CFVR,7016
2018,Dealer,660
2018,RSCFL,1340
2018,SCFL,4824
2018,Shellfish w/o SCFL,775
2019,CFVR,6634
2019,Dealer,681
2019,RSCFL,1373
2019,SCFL,4545
2019,Shellfish w/o SCFL,584